"alpha","theta","intercept","control","female","aco","control_female","control_aco","female_aco","control_f_aco"
0.64765,0.64765,0.5946,0.5946,0.5946,0.5946,0.5946,0.5946,0.5946,0.5946
3.88887942,0.71959404,3.89842895,-0.03050519,0.15341679,-0.75850896,0.0668548,-0.03322455,-0.03874913,-0.0799673
3.87055747434314,0.723121455653288,3.90470525839424,-0.021790710437296,0.153002803442464,-0.755425486974566,0.0617725899732331,-0.0426422726535412,-0.0409797534539344,-0.0732250698704321
3.8805703753587,0.716264220704526,3.90603781132521,-0.0231052605221516,0.143082415095628,-0.765435040347015,0.0675192910753161,-0.0381893684037531,-0.0286716490255842,-0.0835548263866287
3.84773875275687,0.724297406997726,3.90275914756396,-0.0223022126476589,0.143287460394694,-0.766882747619541,0.0663142488743936,-0.0400828343637977,-0.0319514816537138,-0.0733456133006751
3.86110586304909,0.723019297399653,3.90893100213118,-0.0327324317018996,0.133083555976587,-0.767033165526231,0.0839201469377574,-0.036656096722404,-0.0252301960728954,-0.0844646800859077
3.86110586304909,0.723019297399653,3.90357649666976,-0.0342729671574102,0.137739735965951,-0.768162777314809,0.0727900347707795,-0.0341599960381677,-0.0275963894370566,-0.0773450294290645
3.88841892269617,0.730631217328059,3.90008604869303,-0.0294243028668079,0.140959184732833,-0.766351609223478,0.0669830186659683,-0.0421922069488675,-0.0282483764199507,-0.0681669295610696
3.88841892269617,0.730631217328059,3.90325363871057,-0.0297040245397397,0.13933365560688,-0.767491327845063,0.062989586751752,-0.0359040169705248,-0.0221140198164192,-0.0678679554685896
3.88841892269617,0.730631217328059,3.90325363871057,-0.0297040245397397,0.13933365560688,-0.767491327845063,0.062989586751752,-0.0359040169705248,-0.0221140198164192,-0.0678679554685896
3.84190707211321,0.732141499569294,3.9049393391369,-0.0281012053376695,0.13811530662418,-0.76140282520102,0.0614213074757594,-0.0385746844341912,-0.0279928586271818,-0.0638328651996482
3.84190707211321,0.732141499569294,3.91076802260453,-0.0276980971743073,0.131179700816445,-0.770763017138258,0.0684360760299839,-0.0351221694032871,-0.0118622553839055,-0.0834166951664047
3.81536559923749,0.727693135822098,3.91076802260453,-0.0276980971743073,0.131179700816445,-0.770763017138258,0.0684360760299839,-0.0351221694032871,-0.0118622553839055,-0.0834166951664047
3.79823143885757,0.724206510679936,3.91515533131725,-0.0358597052896442,0.128208009258705,-0.780855465697234,0.0783674289043938,-0.0199033413029415,-0.00643574056749768,-0.0940189520737443
3.78664628272928,0.72381397477879,3.90292204158256,-0.019254379752019,0.140569502962604,-0.770531263575841,0.0597398861345433,-0.0333079681517475,-0.018510678590907,-0.0858738442585389
3.82324919965159,0.720825658590965,3.90292204158256,-0.019254379752019,0.140569502962604,-0.770531263575841,0.0597398861345433,-0.0333079681517475,-0.018510678590907,-0.0858738442585389
3.81077195016078,0.725190162145387,3.89780082212031,-0.0166937974422861,0.143028736836583,-0.771804101398826,0.0567006904160095,-0.0358077276647856,-0.0139355925262993,-0.0839186951822129
3.81077195016078,0.725190162145387,3.89253534058656,-0.00978003752846136,0.144270436406269,-0.765629364557688,0.0575188619425838,-0.0470824847680637,-0.0150955318162817,-0.0822737492032275
3.79041650016554,0.729388198966224,3.89253534058656,-0.00978003752846136,0.144270436406269,-0.765629364557688,0.0575188619425838,-0.0470824847680637,-0.0150955318162817,-0.0822737492032275
3.83823448524473,0.740315415893895,3.88912790502864,-0.00566851427286658,0.151645133741807,-0.765875971587395,0.0481806728755069,-0.0525286377842644,-0.0162319468653565,-0.0718660392146242
3.80459773337516,0.731757413521107,3.88912790502864,-0.00566851427286658,0.151645133741807,-0.765875971587395,0.0481806728755069,-0.0525286377842644,-0.0162319468653565,-0.0718660392146242
3.80459773337516,0.731757413521107,3.88281050638231,-0.000836823553860958,0.144237668715306,-0.773272378744419,0.0405847856826861,-0.0474670413932102,-0.00434240769237183,-0.0636797822226431
3.76293571209567,0.743660586354265,3.88281050638231,-0.000836823553860958,0.144237668715306,-0.773272378744419,0.0405847856826861,-0.0474670413932102,-0.00434240769237183,-0.0636797822226431
3.75477172490036,0.75204090649204,3.88206838125691,-0.00159880077564375,0.147959340893746,-0.77298984939488,0.0507284713630895,-0.052326591750543,-0.0092238330283601,-0.0662344746225287
3.77584135601726,0.742425496807822,3.88206838125691,-0.00159880077564375,0.147959340893746,-0.77298984939488,0.0507284713630895,-0.052326591750543,-0.0092238330283601,-0.0662344746225287
3.77584135601726,0.742425496807822,3.87380122129088,0.0107068508636308,0.152802166704832,-0.765679972722953,0.0385287244093056,-0.063587957231023,-0.00932399327556128,-0.0638697605310082
3.80522269749597,0.747901817246278,3.87188382832386,0.00941424297493622,0.15972834282716,-0.760117148477493,0.0298395700391634,-0.0665430672409914,-0.0178483521984316,-0.0505437877527923
3.79161738723066,0.734743900018359,3.87188382832386,0.00941424297493622,0.15972834282716,-0.760117148477493,0.0298395700391634,-0.0665430672409914,-0.0178483521984316,-0.0505437877527923
3.79161738723066,0.734743900018359,3.87793084320096,0.00998819123726272,0.153232943782371,-0.761756267511141,0.0302698758413178,-0.0639275778604913,-0.00697040822517342,-0.0611455201192443
3.75857535621042,0.734302736803379,3.88225177025758,0.00369694562188268,0.1569497424367,-0.765306764626042,0.0293290843860597,-0.058292564364984,-0.0114236276781562,-0.0582444918758939
3.70006277136353,0.737550008228756,3.88225177025758,0.00369694562188268,0.1569497424367,-0.765306764626042,0.0293290843860597,-0.058292564364984,-0.0114236276781562,-0.0582444918758939
