alpha,theta,intercept,infected,female,age_14,age_28,inf_female,inf_14,inf_28,female_14,female_28
0.5742,0.5742,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311
1.890390276,1.846996258,1.823753465,-0.615436519,0.030102303,0.93618147,0.329697524,-0.003964608,-0.613027522,-0.19453367,0.108735851,-0.064016412
1.890390276,1.846996258,1.823753465,-0.615436519,0.030102303,0.93618147,0.329697524,-0.003964608,-0.613027522,-0.19453367,0.108735851,-0.064016412
1.890390276,1.846996258,1.823753465,-0.615436519,0.030102303,0.93618147,0.329697524,-0.003964608,-0.613027522,-0.19453367,0.108735851,-0.064016412
1.890390276,1.846996258,1.823753465,-0.615436519,0.030102303,0.93618147,0.329697524,-0.003964608,-0.613027522,-0.19453367,0.108735851,-0.064016412
1.8875453973923966,1.8518613383250133,1.8112801790627988,-0.6024853868444227,0.03038707815459741,0.936602449203295,0.3369142313123422,-0.005710362619126493,-0.6187927849257356,-0.20650731943565148,0.11194408210910861,-0.06723957547099511
1.868195440581118,1.8674260000480405,1.8144403124817325,-0.6043206412257431,0.021824852861581756,0.9335847218888296,0.3288592012906817,-0.0033419500584616797,-0.6255146315968939,-0.20876529484523942,0.11942120096282667,-0.06176590503475924
1.8654267605658965,1.9029306231325793,1.8144403124817325,-0.6043206412257431,0.021824852861581756,0.9335847218888296,0.3288592012906817,-0.0033419500584616797,-0.6255146315968939,-0.20876529484523942,0.11942120096282667,-0.06176590503475924
1.8494769478065598,1.9321028904773856,1.8151422500604448,-0.6055528149082878,0.01888047992118511,0.9197420246308274,0.3180786842607201,0.0010429435689838585,-0.6219307549992392,-0.2025338606096509,0.12105598049677692,-0.059786984198994406
1.8494769478065598,1.9321028904773856,1.8127139318720524,-0.6144545117391226,0.009352805950457064,0.9372120159355432,0.32166389880789253,0.00981984175497292,-0.6439894427809967,-0.21535248159596088,0.1291515704511403,-0.04553499019512813
1.8336073893684477,1.9589351772467591,1.8127139318720524,-0.6144545117391226,0.009352805950457064,0.9372120159355432,0.32166389880789253,0.00981984175497292,-0.6439894427809967,-0.21535248159596088,0.1291515704511403,-0.04553499019512813
1.8575223751035161,1.9366510072277607,1.8127139318720524,-0.6144545117391226,0.009352805950457064,0.9372120159355432,0.32166389880789253,0.00981984175497292,-0.6439894427809967,-0.21535248159596088,0.1291515704511403,-0.04553499019512813
1.844627222233811,1.9395966594345098,1.8127139318720524,-0.6144545117391226,0.009352805950457064,0.9372120159355432,0.32166389880789253,0.00981984175497292,-0.6439894427809967,-0.21535248159596088,0.1291515704511403,-0.04553499019512813
1.844627222233811,1.9395966594345098,1.8179449928858615,-0.6117927776792869,0.015436091498426507,0.9238634304674467,0.31618334209162413,0.0029605442859993924,-0.6263497263662101,-0.20869268540094485,0.1270452974613809,-0.045724039384912256
1.8528390224437417,1.914799285901314,1.8179449928858615,-0.6117927776792869,0.015436091498426507,0.9238634304674467,0.31618334209162413,0.0029605442859993924,-0.6263497263662101,-0.20869268540094485,0.1270452974613809,-0.045724039384912256
1.8528390224437417,1.914799285901314,1.8179449928858615,-0.6117927776792869,0.015436091498426507,0.9238634304674467,0.31618334209162413,0.0029605442859993924,-0.6263497263662101,-0.20869268540094485,0.1270452974613809,-0.045724039384912256
1.8528390224437417,1.914799285901314,1.8179449928858615,-0.6117927776792869,0.015436091498426507,0.9238634304674467,0.31618334209162413,0.0029605442859993924,-0.6263497263662101,-0.20869268540094485,0.1270452974613809,-0.045724039384912256
1.8528390224437417,1.914799285901314,1.8179449928858615,-0.6117927776792869,0.015436091498426507,0.9238634304674467,0.31618334209162413,0.0029605442859993924,-0.6263497263662101,-0.20869268540094485,0.1270452974613809,-0.045724039384912256
1.8480684106346625,1.9136706487700226,1.8157770025802962,-0.6052082645768352,0.03518031904354876,0.9107434069225782,0.3071643098932642,-0.002991555256122323,-0.6107897054232839,-0.20071399255777256,0.10632930508315075,-0.06257978838545852
1.8298574348289687,1.924456888571357,1.821095720312655,-0.6096697146263486,0.012928255596177173,0.9203049780683557,0.30498988162169804,0.009316847985306008,-0.622327818291175,-0.20321739159229288,0.1174664013888823,-0.04331965585456328
1.834347001648192,1.9282966878895884,1.821095720312655,-0.6096697146263486,0.012928255596177173,0.9203049780683557,0.30498988162169804,0.009316847985306008,-0.622327818291175,-0.20321739159229288,0.1174664013888823,-0.04331965585456328
1.8361365439729833,1.9153047537021133,1.82360178576935,-0.619976932985074,0.017934224064149483,0.9285790457458195,0.3062439512828545,0.011073867223280284,-0.6236223631497511,-0.1959941254630332,0.10949878372871433,-0.0458818571553281
1.8309709295619652,1.9196455486678157,1.82360178576935,-0.619976932985074,0.017934224064149483,0.9285790457458195,0.3062439512828545,0.011073867223280284,-0.6236223631497511,-0.1959941254630332,0.10949878372871433,-0.0458818571553281
1.8309709295619652,1.9196455486678157,1.8191960725208522,-0.6226569774494138,0.013985900240124529,0.9298199838032021,0.3084329742379181,0.009460053138273467,-0.6152104238789167,-0.18617958362235398,0.11049569625561775,-0.0433343964743519
1.8309709295619652,1.9196455486678157,1.8191960725208522,-0.6226569774494138,0.013985900240124529,0.9298199838032021,0.3084329742379181,0.009460053138273467,-0.6152104238789167,-0.18617958362235398,0.11049569625561775,-0.0433343964743519
1.8293708540234113,1.9150843897089516,1.8191960725208522,-0.6226569774494138,0.013985900240124529,0.9298199838032021,0.3084329742379181,0.009460053138273467,-0.6152104238789167,-0.18617958362235398,0.11049569625561775,-0.0433343964743519
