"alpha","theta","intercept","pop_aco","control","female","con_female","con_aco","female_aco","con_female_aco"
0.5504,0.5504,0.6199,0.6199,0.6199,0.6199,0.6199,0.6199,0.6199,0.6199
4.86983567,0.39150308,3.98904021,-0.690019248,0.001140902,0.162223351,0.024151428,-0.094616469,-0.091893765,-0.006197465
4.86983567,0.39150308,3.98063051643475,-0.697218030928552,-0.00304949326793378,0.16187636183467,0.0336175646735914,-0.0874970404539962,-0.0870532735733539,-0.0151458656973891
4.96722955465915,0.386358474990498,3.98386243046625,-0.690641315497949,0.000874280585079397,0.157478697633552,0.0321281675532088,-0.0959737311722899,-0.084644674023863,-0.0119482728826116
4.96722955465915,0.386358474990498,3.97658611140133,-0.681121395236802,0.00757573944413921,0.163122370544323,0.0201631608004049,-0.104639228356725,-0.0932640447028529,0.00499699685314663
5.03758829308031,0.38736150857505,3.98268178794727,-0.679007566949348,-0.000432591827996224,0.162813197892934,0.0212059745874316,-0.0982527557721599,-0.0955644162960076,0.00295682920074644
5.03758829308031,0.38736150857505,3.98647077711583,-0.679532474567663,0.000886404324662931,0.158768899456285,0.0228927435856826,-0.0992702407968946,-0.0894371771264289,-0.0043029496879955
5.03032688483379,0.382853057383103,3.99085180370189,-0.68199005405155,-0.00236995634036675,0.152969983313982,0.0285627457248065,-0.0957612906824345,-0.087296870024655,-0.00848962913246484
5.09793836256324,0.383884285283317,3.99754947156397,-0.688332698703052,-0.00865124480209407,0.143664899610737,0.0384175656301906,-0.0917019830162144,-0.0744942529871977,-0.019410762915699
5.08589888705219,0.381027523544972,4.00668196773641,-0.69785255455189,-0.0178391623042471,0.134370645241528,0.0451268141423101,-0.080046236319922,-0.0629486907123025,-0.0258431852849431
5.11571577880356,0.373556939259383,4.0079623571051,-0.698005149461911,-0.0188825340406723,0.133721463102389,0.0512235858529149,-0.0792712212731581,-0.0605269997992267,-0.0339377123662665
5.11571577880356,0.373556939259383,4.01215152396776,-0.706351332059263,-0.0236229965010193,0.127788887394442,0.0604950201029906,-0.0700104775715339,-0.0495264071630518,-0.0536180220752509
5.11571577880356,0.373556939259383,4.01574474240617,-0.701482014706373,-0.0230827558680787,0.119025947372089,0.0635948168600078,-0.0778881684626563,-0.0470413028245967,-0.0477753393776818
5.03506684525539,0.374285651263656,4.01574474240617,-0.701482014706373,-0.0230827558680787,0.119025947372089,0.0635948168600078,-0.0778881684626563,-0.0470413028245967,-0.0477753393776818
5.03506684525539,0.374285651263656,4.01574474240617,-0.701482014706373,-0.0230827558680787,0.119025947372089,0.0635948168600078,-0.0778881684626563,-0.0470413028245967,-0.0477753393776818
5.03506684525539,0.374285651263656,4.01700985312929,-0.70974132789798,-0.020600749390922,0.118175562591481,0.0575704620731495,-0.078498446550338,-0.04195819657397,-0.0401574443370907
5.03506684525539,0.374285651263656,4.01687040093969,-0.707773766190483,-0.0177957476904998,0.12773113975266,0.0485656187840968,-0.0829564883783452,-0.0464224355441114,-0.027325723945387
5.03506684525539,0.374285651263656,4.01687040093969,-0.707773766190483,-0.0177957476904998,0.12773113975266,0.0485656187840968,-0.0829564883783452,-0.0464224355441114,-0.027325723945387
5.051277428638,0.374155048918804,4.01105517334252,-0.704344390511953,-0.0112740709287573,0.131865590797617,0.051090259794003,-0.0880205306045113,-0.0497942026595826,-0.0305871493067834
5.13007985768139,0.372739740844313,4.01105517334252,-0.704344390511953,-0.0112740709287573,0.131865590797617,0.051090259794003,-0.0880205306045113,-0.0497942026595826,-0.0305871493067834
5.13007985768139,0.372739740844313,4.01105517334252,-0.704344390511953,-0.0112740709287573,0.131865590797617,0.051090259794003,-0.0880205306045113,-0.0497942026595826,-0.0305871493067834
5.19137521088384,0.364540961678951,4.0084422483035,-0.699343618327127,-0.0126321026241882,0.132892329595272,0.0546915813904028,-0.0897836686808619,-0.0523155265151101,-0.0273783131840618
5.21333043910567,0.365854129569628,4.0084422483035,-0.699343618327127,-0.0126321026241882,0.132892329595272,0.0546915813904028,-0.0897836686808619,-0.0523155265151101,-0.0273783131840618
5.18919751360072,0.367186123927389,4.0132827940955,-0.707110565812621,-0.00904159500921927,0.127974778771893,0.0587507858238139,-0.0824147610035161,-0.0410419041149902,-0.0465318189421069
5.31864429991054,0.362727290276716,4.0132827940955,-0.707110565812621,-0.00904159500921927,0.127974778771893,0.0587507858238139,-0.0824147610035161,-0.0410419041149902,-0.0465318189421069
5.34193196822201,0.359116153147538,4.02162865126206,-0.710089414165393,-0.0088364597432023,0.123594803046632,0.0527640053372616,-0.0817127892757251,-0.0424768474300838,-0.0441916002857782
5.34193196822201,0.359116153147538,4.01829282146689,-0.710520708868231,-0.00267921626958117,0.127079532073297,0.0403825642191464,-0.0758489388533152,-0.0410232550430634,-0.0468944233093948
5.28586599081323,0.366136696031966,4.01600889692494,-0.708478530428849,-0.00366287212537737,0.127708630987636,0.0443801409890813,-0.0727780940611465,-0.0430081228001192,-0.0517166764881497
5.23116989101148,0.364071208047091,4.01114398564413,-0.705621169612673,0.00145961065272297,0.136796530430818,0.0351976707956352,-0.0775001163826112,-0.0476263445983312,-0.042031642016343
5.15830540942892,0.373337292473549,4.01397075959072,-0.711038826826837,-0.000557310814925636,0.136437201191286,0.0330952838726094,-0.0743672413223372,-0.0411035816588025,-0.0453829605428582
5.15830540942892,0.373337292473549,4.01397075959072,-0.711038826826837,-0.000557310814925636,0.136437201191286,0.0330952838726094,-0.0743672413223372,-0.0411035816588025,-0.0453829605428582
